fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2019,710070,210045,,07/01/2019,02/29/2020,2,9776199.0,11029076.0,732.0,,71578.0,212.0,1.0,97.0,100785.55670103093
2019,710071,210056,,07/01/2019,06/30/2020,2,243769859.0,265030693.0,78324.0,,3285876.0,24349.0,2214.0,7753.0,31442.004256416873
2019,710072,210058,,07/01/2019,06/30/2020,2,102355520.0,107543373.0,49776.0,,239888.0,11643.0,1815.0,2105.0,48624.95011876484
2019,710078,232019,,06/01/2019,05/31/2020,6,44941906.0,40811068.0,95160.0,,,10874.0,22.0,699.0,64294.57224606581
2019,710094,351319,,01/01/2019,12/31/2019,2,15637653.0,16169587.0,7300.0,14895.0,,882.0,1.0,206.0,75910.93689320388
2019,710097,390312,,07/01/2019,06/30/2020,4,,99569208.0,27084.0,,116116.0,665.0,,456.0,
2019,710098,392031,,05/01/2019,04/30/2020,4,14381324.0,12116156.0,14274.0,,,6597.0,,353.0,40740.29461756374
2019,710104,450803,,01/01/2019,12/31/2019,5,193268293.0,63116032.0,55115.0,,291014.0,1502.0,42.0,1535.0,125907.68273615635
2019,710106,452041,,01/01/2019,12/31/2019,5,16396866.0,14723124.0,12045.0,,,6847.0,,465.0,35262.07741935484
2019,710140,151312,,01/01/2019,12/31/2019,2,29558709.0,30037026.0,9125.0,41088.0,,1166.0,12.0,526.0,56195.26425855514
2019,710142,181310,,01/01/2019,12/31/2019,4,16845853.0,18920532.0,9125.0,32472.0,,757.0,78.0,326.0,51674.39570552147
2019,710144,210006,,07/01/2019,06/30/2020,2,84751482.0,88580317.0,30012.0,,1643444.0,9088.0,2367.0,4785.0,17711.908463949843
2019,710150,241314,,10/01/2018,09/30/2019,10,17135976.0,18716536.0,7300.0,12000.79,,662.0,25.0,161.0,106434.63354037267
2019,710162,404004,,01/01/2019,12/31/2019,4,37376184.0,35432558.0,78840.0,,,2906.0,,8390.0,4454.8491060786655
2019,710164,431313,,01/01/2019,12/31/2019,2,10912080.0,11675310.0,9125.0,9562.0,,736.0,3.0,152.0,71790.0
2019,710177,521300,,07/01/2019,06/30/2020,1,14125316.0,15506979.0,5124.0,20128.6,,936.0,15.0,234.0,60364.59829059829
2019,710178,521330,,01/01/2019,12/31/2019,2,52057329.0,52530618.0,8760.0,46263.0,,1473.0,185.0,637.0,81722.65149136577
2019,710191,161315,,07/01/2019,06/30/2020,9,10395792.0,13018681.0,9150.0,2544.0,,395.0,,41.0,253555.9024390244
2019,710192,171310,,01/01/2019,12/31/2019,9,10285637.0,12543056.0,5840.0,12912.0,,1162.0,7.0,178.0,57784.47752808989
2019,710194,210057,,01/01/2019,12/31/2019,1,412884538.0,407036650.0,137971.0,,5674284.0,33212.0,21427.0,21787.0,18950.95873686143
2019,710195,210062,,07/01/2019,06/30/2020,2,244302777.0,240239453.0,65148.0,,3607296.0,19544.0,2595.0,9846.0,24812.38848263254
2019,710214,361318,,01/01/2019,12/31/2019,2,34811453.0,34072899.0,6935.0,25896.0,,567.0,28.0,435.0,80026.32873563218
2019,710215,361322,,01/01/2019,12/31/2019,2,22892993.0,16482231.0,9125.0,10123.0,,54.0,10.0,399.0,57375.92230576441
2019,710217,361330,,01/01/2019,12/31/2019,9,34720911.0,37948684.0,9125.0,36921.0,,2238.0,23.0,425.0,81696.2611764706
2019,710226,451365,,07/01/2019,06/30/2020,1,42737914.0,44584456.0,9150.0,39936.0,,786.0,18.0,702.0,60880.21937321937
2019,710227,451369,,01/01/2019,12/31/2019,2,19271695.0,28266601.0,9125.0,41640.0,,686.0,111.0,612.0,31489.6977124183
2019,710245,210001,,07/01/2019,06/30/2020,2,314200752.0,326392328.0,92964.0,,5967632.0,30306.0,4116.0,14036.0,22385.348532345397
2019,710248,210063,,07/01/2019,06/30/2020,2,322522506.0,323351678.0,87474.0,,5895097.0,25691.0,3259.0,13350.0,24158.989213483146
2019,710249,222046,,09/01/2019,08/31/2020,4,25907993.0,27243128.0,63684.0,,,3924.0,13583.0,401.0,64608.46134663342
2019,710257,344032,,01/01/2019,12/31/2019,4,15043010.0,16643860.0,28105.0,,,3491.0,73.0,2534.0,5936.4680347277035
2019,710258,371328,,01/01/2019,12/31/2019,9,15188719.0,16838291.0,9125.0,46020.08,,5591.0,86.0,581.0,26142.373493975905
2019,710263,451356,,01/01/2019,12/31/2019,8,23723112.0,31674675.0,9125.0,66528.0,,2182.0,151.0,835.0,28410.9125748503
2019,710266,454125,,01/01/2019,12/31/2019,4,8376713.0,12977123.0,26280.0,,,1639.0,6970.0,1909.0,4388.011000523835
2019,710267,494017,,07/01/2019,06/30/2020,10,2143577.0,19538742.0,26352.0,,,1437.0,,399.0,5372.37343358396
2019,710269,521303,,01/01/2019,12/31/2019,2,12664581.0,9807224.0,9125.0,8496.0,,549.0,22.0,125.0,101316.648
2019,710270,521342,,01/01/2019,12/31/2019,4,8435399.0,9092806.0,9125.0,8760.0,,924.0,6.0,217.0,38872.8064516129
2019,710275,241313,,07/01/2019,06/30/2020,2,8347182.0,8879751.0,5124.0,1060.37,,69.0,2.0,32.0,260849.4375
2019,710288,521319,,01/01/2019,12/31/2019,2,21015201.0,21877707.0,6488.0,10152.0,,1918.0,1.0,138.0,152284.0652173913
