ccn,fac_name,change_year,prev_year,ownership_before,ownership_after,ctrl_type_before,ctrl_type_after,any_merger,treated,unaccounted_ownership_change
150005,HENDRICKS REGIONAL HEALTH,2018,2017.0,non_profit,government,2.0,9,0,0,1
150007,COMMUNITY HOWARD REGIONAL HEALTH INC,2013,2012.0,government,non_profit,9.0,2,0,1,0
150009,CLARK MEMORIAL HOSPITAL,2015,2014.0,government,for_profit,9.0,4,1,1,0
150044,BAPTIST HEALTH FLOYD,2017,2016.0,government,non_profit,9.0,2,0,1,0
150102,STARKE HOSPITAL,2018,2017.0,non_profit,for_profit,2.0,4,0,1,0
150158,IU HEALTH WEST HOSPITAL,2019,2018.0,for_profit,non_profit,4.0,2,0,0,1
150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,2019,2018.0,for_profit,non_profit,4.0,2,0,0,1
150173,INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,2018,2017.0,for_profit,non_profit,4.0,2,0,0,1
151307,ST VINCENT WILLIAMSPORT HOSPITAL INC,2018,2017.0,for_profit,non_profit,6.0,1,0,0,1
151310,"PARKVIEW WABASH HOSPITAL, INC",2015,2014.0,government,non_profit,9.0,2,1,1,0
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,2012,2011.0,government,non_profit,9.0,2,0,1,0
151320,JAY COUNTY HOSPITAL,2014,2013.0,non_profit,government,2.0,9,0,0,1
151320,IU HEALTH JAY,2019,2018.0,government,non_profit,9.0,2,0,0,1
151324,"FRANCISCAN HEALTH RENSSELAER, INC",2016,2015.0,government,non_profit,9.0,1,0,1,0
151334,SCOTT MEMORIAL HOSPITAL,2013,2012.0,government,for_profit,9.0,4,1,1,0
152014,,2012,2011.0,for_profit,government,4.0,10,0,0,1
152014,,2013,2012.0,government,for_profit,10.0,4,0,0,1
152025,,2012,2011.0,non_profit,for_profit,2.0,4,0,0,1
154008,,2013,2012.0,non_profit,for_profit,2.0,6,0,0,1
154008,,2014,2013.0,for_profit,government,6.0,10,0,0,1
154008,,2015,2014.0,government,for_profit,10.0,4,0,0,1
154008,,2019,2018.0,for_profit,government,4.0,10,0,0,1
154056,,2014,2013.0,non_profit,government,3.0,10,0,0,1
154056,,2018,2017.0,government,for_profit,10.0,4,0,0,1
154056,,2019,2018.0,for_profit,government,4.0,10,0,0,1
160104,TRINITY BETTENDORF,2014,2013.0,non_profit,for_profit,2.0,6,0,0,1
160104,TRINITY BETTENDORF,2015,2014.0,for_profit,non_profit,6.0,2,0,0,1
