fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge
2017,650359,394027,,07/01/2017,06/30/2018,4,45770066.0,43508980.0,62780.0,,,4762.0,1816.0,3340.0,13703.6125748503
2017,650444,104017,,07/01/2017,06/30/2018,4,22598819.0,24147384.0,52560.0,,,12145.0,,4143.0,5454.699251749939
2017,650512,351313,,01/01/2017,12/31/2017,2,11376532.0,14196381.0,8395.0,8616.0,,534.0,,107.0,106322.72897196261
2017,650535,451317,,01/01/2017,12/31/2017,11,8299175.0,13663810.0,7300.0,6664.0,,392.0,,76.0,109199.67105263157
2017,650539,454132,,01/01/2017,12/31/2017,4,17195714.0,18545312.0,39420.0,,,2475.0,1020.0,4197.0,4097.14415058375
2017,650578,171352,,01/01/2017,12/31/2017,2,6054005.0,7589861.0,7665.0,9310.38,,1029.0,,109.0,55541.33027522936
2017,650598,264004,,07/01/2017,06/30/2018,10,79648784.0,101423648.0,13870.0,,,322.0,2369.0,113.0,704856.4955752213
2017,650599,281357,,01/01/2017,12/31/2017,2,54327461.0,54397427.0,6935.0,40109.0,,1292.0,119.0,570.0,95311.3350877193
2017,650697,144009,,01/01/2017,12/31/2017,4,36407994.0,26534953.0,76650.0,,,6504.0,6468.0,4230.0,8607.090780141843
2017,650785,451340,,10/01/2016,09/30/2017,11,2667621.0,6477457.0,9125.0,3840.0,,413.0,,75.0,35568.28
2017,650799,042012,,01/01/2017,12/31/2017,2,18881041.0,16236607.0,20075.0,,,5818.0,12.0,343.0,55046.7667638484
2017,650813,141313,,10/01/2016,09/30/2017,11,24857543.0,25147954.0,9125.0,14826.3,,1014.0,30.0,205.0,121256.30731707317
2017,650827,222003,,07/01/2017,06/30/2018,10,,63568755.0,197100.0,,,309.0,95666.0,675.0,
2017,650846,264008,,07/01/2017,06/30/2018,10,14876820.0,29836151.0,23725.0,,,718.0,970.0,64.0,232450.3125
2017,650938,021309,,10/01/2016,09/30/2017,7,,62868509.0,6570.0,19824.0,,444.0,147.0,273.0,
2017,650984,131304,,10/01/2016,09/30/2017,11,6584479.0,8190606.0,3650.0,3467.0,,583.0,1.0,45.0,146321.75555555554
2017,650985,131323,,10/01/2016,09/30/2017,2,68612398.0,67346886.0,9125.0,61536.0,,1062.0,396.0,1033.0,66420.52081316554
2017,650999,172005,,11/01/2016,10/31/2017,10,15457525.0,18454619.0,14600.0,,,5088.0,120.0,386.0,40045.40155440415
2017,651000,194112,,01/01/2017,12/31/2017,6,2266599.0,3174714.0,6570.0,,,969.0,,889.0,2549.6051743532057
2017,651004,223300,,10/01/2016,09/30/2017,2,57395774.0,60054591.0,40992.0,,,248.0,9509.0,804.0,71387.77860696518
2017,651076,452096,,02/01/2017,01/31/2018,4,13953305.0,16878793.0,14600.0,,,8739.0,,397.0,35146.863979848866
2017,651123,021304,,07/01/2017,06/30/2018,12,15818340.0,15699588.0,4380.0,7559.0,,788.0,64.0,111.0,142507.56756756757
2017,651129,271302,,07/01/2017,06/30/2018,2,2001278.0,3143745.0,9125.0,1944.0,,213.0,,24.0,83386.58333333333
2017,651130,271308,,05/01/2017,04/30/2018,2,5051719.0,5582066.0,12045.0,912.0,,653.0,4184.0,14.0,360837.0714285714
2017,651131,271322,,07/01/2017,06/30/2018,2,10537089.0,11880448.0,6935.0,8040.0,,946.0,37.0,119.0,88546.96638655462
2017,651138,673054,,01/01/2017,12/31/2017,5,26042429.0,21930397.0,21900.0,,,13209.0,,1385.0,18803.197833935017
2017,651139,084002,,01/01/2017,12/31/2017,4,37886657.0,28238711.0,46720.0,,,5837.0,,4981.0,7606.235093354748
2017,651142,224007,,10/01/2016,09/30/2017,4,135467290.0,226300477.0,118260.0,,,19980.0,3199.0,6329.0,21404.217095907727
2017,651147,393030,,07/01/2017,06/30/2018,2,37552383.0,38969880.0,29930.0,,,12726.0,590.0,1385.0,27113.63393501805
2017,651148,530035,,01/01/2017,12/31/2017,2,,,,,,,,,
2017,651277,240206,,10/01/2016,09/30/2017,7,,25089067.0,8395.0,,3892.0,129.0,752.0,66.0,
2017,651287,372012,,01/01/2017,08/31/2017,4,4888512.0,5145638.0,7533.0,,,3148.0,283.0,326.0,14995.435582822085
2017,651306,524038,,10/01/2016,09/30/2017,1,20749695.0,22432433.0,29200.0,,,660.0,919.0,1637.0,12675.439828955406
2017,651312,030073,,10/01/2016,09/30/2017,7,,169660845.0,26645.0,,634172.0,4206.0,6217.0,2340.0,
2017,651326,100277,,07/01/2017,06/30/2018,2,49279662.0,63188912.0,11680.0,,43748.0,192.0,,341.0,144515.137829912
2017,651360,453312,,01/01/2017,12/31/2017,4,,,,,,,,,
2017,651361,454012,,01/01/2017,12/31/2017,4,31637704.0,25506616.0,46180.0,,,5722.0,641.0,4040.0,7831.114851485148
2017,651362,454026,,01/01/2017,12/31/2017,4,35183513.0,30741355.0,52560.0,,,7203.0,943.0,5456.0,6448.591092375366
2017,651373,064024,,01/01/2017,12/31/2017,4,21764442.0,18726336.0,31390.0,,,2310.0,,3296.0,6603.289441747573
2017,651379,182006,,03/01/2017,02/28/2018,2,10137325.0,11595968.0,11680.0,,,6086.0,164.0,290.0,34956.293103448275
2017,651380,183030,,01/01/2017,12/31/2017,4,19796589.0,18057126.0,14600.0,,,7715.0,168.0,1076.0,18398.31691449814
2017,651381,234030,,01/01/2017,12/31/2017,4,32055145.0,23186127.0,39528.0,,,5491.0,,3371.0,9509.090774250964
