fiscal_year,PRVDR_NUM,PRVDR_CTRL_TYPE_CD,total_operating_costs,total_discharges,cost_per_discharge,fac_name,hrrcode,merger_year,treated,years_to_merger
2011,131322,9,13299711.0,364.0,36537.66758241758,FRANKLIN COUNTY MEDICAL CENTER,423.0,,0,
2011,131311,11,23276158.0,472.0,49313.89406779661,ELMORE MEDICAL CENTER,151.0,,0,
2011,171318,8,3547626.0,212.0,16734.084905660377,SEDAN CITY HOSPITAL,340.0,2013.0,1,-2.0
2011,54104,4,34916882.0,3928.0,8889.226578411406,,,,0,
2011,291306,2,38435192.0,817.0,47044.29865361077,CARSON VALLEY MEDICAL CENTER,280.0,2018.0,1,-7.0
2011,362033,4,17405194.0,355.0,49028.715492957745,,,,0,
2011,534004,4,21658579.0,1573.0,13768.96312778131,SENIOR HOME CARE INC,457.0,,0,
2011,241362,11,57901015.0,1552.0,37307.3550257732,NEW RIVER MEDICAL CENTER,251.0,2013.0,1,-2.0
2011,102012,4,29643039.0,787.0,37665.86912325286,,,,0,
2011,430095,4,49008052.0,2200.0,22276.387272727272,AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,371.0,,0,
2011,112014,4,15542186.0,245.0,63437.49387755102,,,,0,
2011,452074,4,100889369.0,2578.0,39134.74359968968,,,,0,
2011,210016,1,236779096.0,16249.0,14571.91802572466,WASHINGTON ADVENTIST HOSPITAL,226.0,,0,
2011,312017,4,23527986.0,335.0,70232.79402985075,,,,0,
2011,264012,4,30788967.0,2294.0,13421.520052310374,,,,0,
2011,271337,2,5906620.0,185.0,31927.675675675677,NORTHERN ROCKIES MEDICAL CENTER,275.0,,0,
2011,331311,2,26360552.0,1014.0,25996.59960552268,LITTLE FALLS HOSPITAL,300.0,,0,
2011,51331,2,13249267.0,304.0,43583.11513157895,SANTA YNEZ VALLEY COTTAGE HOSPITAL,86.0,,0,
2011,181308,4,16917173.0,371.0,45598.84905660377,BLUEGRASS COMMUNITY HOSPITAL,204.0,,0,
2011,131328,2,52993973.0,2542.0,20847.353658536584,BONNER GENERAL HOSPITAL,440.0,,0,
2011,234038,5,16464826.0,2292.0,7183.606457242583,,,,0,
2011,452035,4,20712552.0,302.0,68584.60927152318,,,,0,
2011,210043,2,336091825.0,19359.0,17361.01167415672,BALTIMORE WASHINGTON  MEDICAL CENTER,223.0,,0,
2011,231327,2,45907629.0,711.0,64567.69198312237,HAYES GREEN BEACH MEMORIAL HOSPITAL,239.0,2019.0,1,-8.0
2011,521325,2,19504078.0,646.0,30192.07120743034,FLAMBEAU HSPTL,450.0,2013.0,1,-2.0
