fiscal_year,RPT_REC_NUM,PRVDR_NUM,NPI,FY_BGN_DT,FY_END_DT,PRVDR_CTRL_TYPE_CD,total_operating_costs,net_patient_revenue,total_charges,medicare_charges,medicare_payments,medicaid_charges,medicaid_payments,total_discharges,cost_per_discharge,ccn,fac_name,hrrcode,merger_target,merger_of_equals,bankruptcy,system_exit,system_split,system_id_yr,any_merger,merger_year,treated,years_to_merger,post_merger,match_pair_id
2011,521353,271303,,07/01/2011,06/30/2012,11,3660003.0,3951053.0,9150.0,3738.0,,470.0,3494.0,56.0,65357.19642857143,271303,GRANITE COUNTY MEDICAL CENTER,276.0,0,0,0,0,0,2242.0,0,2016.0,1,-5.0,0,527
2011,521354,271311,,07/01/2011,06/30/2012,2,2866024.0,3057170.0,2928.0,4080.0,,490.0,,53.0,54075.92452830189,271311,BIG SANDY MEDICAL CENTER,275.0,0,0,0,0,0,2212.0,0,,0,,0,527
2011,521365,21301,,01/01/2011,12/31/2011,12,11307897.0,11564559.0,4015.0,12522.0,,294.0,722.0,208.0,54364.88942307692,21301,PROVIDENCE VALDEZ MEDICAL CENTER,10.0,0,0,0,0,0,243.0,0,2016.0,1,-5.0,0,521
2011,521380,431339,,01/01/2011,12/31/2011,2,12500643.0,12087330.0,9125.0,31685.97,,1032.0,617.0,499.0,25051.388777555112,431339,COTEAU DES PRAIRIES HOSPITAL,322.0,0,0,0,0,0,1636.0,0,2018.0,1,-7.0,0,816
2011,521391,171319,,04/01/2011,03/31/2012,8,11339948.0,11064196.0,4392.0,16765.0,,1081.0,40.0,241.0,47053.72614107884,171319,HOLTON COMMUNITY HOSPITAL,200.0,0,0,0,0,0,1740.0,0,,0,,0,685
2011,521415,192046,,01/01/2011,12/31/2011,4,12652675.0,12269832.0,14600.0,,,9875.0,,446.0,28369.2264573991,192046,,,0,0,0,0,0,,0,,0,,0,311
2011,521454,161362,,01/01/2011,12/31/2011,2,22115613.0,22724722.0,9125.0,62112.0,,2542.0,442.0,933.0,23703.765273311896,161362,CHEROKEE REGIONAL MEDICAL CENTER,196.0,0,0,0,0,0,1493.0,0,2013.0,1,-2.0,0,45
2011,521550,371316,,10/01/2010,09/30/2011,4,5159931.0,9171561.0,9125.0,30291.0,,1314.0,151.0,435.0,11861.910344827586,371316,STROUD REGIONAL MEDICAL CENTER,339.0,0,0,0,0,0,245.0,0,2016.0,1,-5.0,0,572
2011,521551,371324,,10/01/2010,09/30/2011,9,2831895.0,3408616.0,5475.0,14140.0,,525.0,91.0,216.0,13110.625,371324,HARPER COUNTY COMMUNITY HOSPITAL,339.0,0,0,0,0,0,1943.0,0,,0,,0,140
2011,521567,361319,,10/01/2010,09/30/2011,2,27459602.0,29246724.0,9125.0,97074.88,,2847.0,412.0,1057.0,25978.809839167458,361319,SELBY GENERAL HOSPITAL,329.0,0,0,0,0,0,1018.0,0,2015.0,1,-4.0,0,459
2011,521570,314021,,01/01/2011,12/31/2011,4,28536414.0,24665687.0,40150.0,,,12449.0,2764.0,2652.0,10760.337104072398,314021,,,0,0,0,0,0,,0,,0,,0,304
2011,521598,142010,,06/01/2011,05/31/2012,5,75602840.0,75635290.0,57462.0,,,22785.0,9239.0,1334.0,56673.793103448275,142010,,,0,0,0,0,0,,0,,0,,0,79
2011,521636,41327,,10/01/2010,09/30/2011,2,19401372.0,18455816.0,9125.0,92304.0,,2912.0,748.0,1243.0,15608.50522928399,41327,BRADLEY COUNTY MEDICAL CENTER,19.0,0,0,0,0,0,1836.0,0,,0,,0,388
2011,521650,371314,,10/01/2010,09/30/2011,4,4977221.0,10061178.0,9125.0,30019.0,,1615.0,262.0,315.0,15800.701587301588,371314,PHYSICIANS' HOSPITAL IN ANADARKO,336.0,0,0,0,0,0,245.0,0,2016.0,1,-5.0,0,571
2011,521751,381318,,01/01/2011,12/31/2011,1,62952381.0,63334041.0,9125.0,120188.0,,1794.0,447.0,2017.0,31210.89786812097,381318,PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL,344.0,0,0,0,0,0,243.0,0,2016.0,1,-5.0,0,583
2011,521848,314027,,01/01/2011,12/31/2011,9,38774114.0,59496606.0,16060.0,,,3676.0,520.0,502.0,77239.27091633466,314027,,,0,0,0,0,0,,0,,0,,0,483
2011,521872,210006,,01/01/2011,12/31/2011,2,89753000.0,89609000.0,38325.0,,1791956.0,11380.0,235.0,5654.0,15874.248319773613,210006,HARFORD MEMORIAL HOSPITAL,223.0,0,0,0,0,0,267.0,0,2013.0,1,-2.0,0,59
2011,522103,181315,,10/01/2010,09/30/2011,2,15327238.0,15449181.0,9125.0,61008.0,,1103.0,888.0,1169.0,13111.409751924724,181315,EPHRAIM MCDOWELL FORT LOGAN HOSPITAL,204.0,0,0,0,0,0,1290.0,0,2014.0,1,-3.0,0,255
2011,522109,361303,,01/01/2011,12/31/2011,2,17592575.0,16980826.0,9125.0,16677.29,,1726.0,11.0,216.0,81447.10648148147,361303,LODI COMMUNITY HOSPITAL,328.0,0,0,0,0,0,168.0,0,2015.0,1,-4.0,0,458
2011,522124,191300,,11/01/2010,10/31/2011,11,9207707.0,11345823.0,9125.0,74.0,,1513.0,97.0,227.0,40562.5859030837,191300,ST HELENA PARISH HOSPITAL CAH,210.0,0,0,0,0,0,1876.0,0,,0,,0,766
2011,522129,451348,,04/01/2011,03/31/2012,11,8277493.0,10101036.0,9125.0,26088.0,,883.0,16.0,342.0,24203.19590643275,451348,HEART OF TEXAS MEMORIAL HOSPITAL,411.0,0,0,0,0,0,2060.0,0,,0,,0,919
2011,522135,251308,,10/01/2010,09/30/2011,2,19537147.0,20746553.0,9125.0,42648.0,,2624.0,140.0,514.0,38010.01361867704,251308,PONTOTOC HEALTH SERVICE CAH,262.0,0,0,0,0,0,224.0,0,,0,,0,668
2011,522140,10100,,04/01/2011,03/31/2012,9,135442030.0,142708384.0,47214.0,,2625412.0,13910.0,3506.0,8987.0,15070.883498386558,10100,THOMAS HOSPITAL,6.0,0,0,0,0,0,125.0,0,,0,,0,491
2011,522150,352004,,01/01/2011,12/31/2011,4,11914699.0,8387789.0,9490.0,,,4070.0,714.0,262.0,45475.95038167939,352004,,,0,0,0,0,0,,0,,0,,0,245
2011,522180,384012,,01/01/2011,12/31/2011,6,29196630.0,19925024.0,28470.0,,,8993.0,,2276.0,12828.04481546573,384012,,,0,0,0,0,0,,0,,0,,0,378
2011,522197,171349,,10/01/2010,09/30/2011,2,13116034.0,13414910.0,8395.0,59313.37,,2801.0,73.0,690.0,19008.74492753623,171349,CLOUD COUNTY HEALTH CENTER,201.0,0,0,0,0,0,1725.0,0,2016.0,1,-5.0,0,514
2011,522206,112003,,04/01/2011,03/31/2012,2,127907738.0,140956185.0,55632.0,,,2880.0,3516.0,966.0,132409.66666666666,112003,,,0,0,0,0,0,,0,,0,,0,120
2011,522240,161358,,07/01/2011,06/30/2012,9,18812566.0,21804940.0,9150.0,39632.0,,1649.0,361.0,536.0,35098.07089552239,161358,WAYNE COUNTY HOSPITAL,192.0,0,0,0,0,0,1496.0,0,2018.0,1,-7.0,0,778
2011,522272,281312,,07/01/2011,06/30/2012,8,5101875.0,5585324.0,6222.0,13039.0,,967.0,21.0,154.0,33129.05844155844,281312,GENOA COMMUNITY HOSPITAL,278.0,0,0,0,0,0,1697.0,0,2018.0,1,-7.0,0,799
2011,522278,451330,,10/01/2010,09/30/2011,13,15164310.0,19364223.0,9125.0,53712.0,,1130.0,53.0,831.0,18248.26714801444,451330,MEDINA REGIONAL HOSPITAL,412.0,0,0,0,0,0,2137.0,0,,0,,0,797
2011,522319,171315,,07/01/2011,06/30/2012,2,10709070.0,10982212.0,8784.0,16707.29,,1135.0,27.0,234.0,45765.256410256414,171315,NEMAHA VALLEY COMMUNITY HOSPITAL,200.0,0,0,0,0,0,1781.0,0,,0,,0,360
